AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
2023,TOTAL NACIONAL,TOTAL,TOTAL,48825,79,"0,1%",18009,117,"0,3%",,6132,196,"1,6%","34,0",,11514,172,"0,8%","63,9",,10364,390,"1,90%","21,2",,16649,409,"1,30%","34,1",,37760,253,"0,30%","77,3",,44145,136,"0,20%","90,4",,,37591,147,"0,20%",77,,,33962,219,"0,30%","69,6",,16649,409,"1,3%","34,1",,19953,375,"1,00%","52,6",,20562,332,"0,80%","54,2",,13315,356,"1,40%","35,1",,11665,344,"1,50%","30,8",,11870,353,"1,50%","31,3",,3540,221,"3,20%","9,3"
,,,HOMBRE,23719,59,"0,1%",,,,,,,,,,,,,,,5048,212,"2,10%","21,3",,8055,225,"1,40%",34,,18126,147,"0,40%","76,4",,21265,93,"0,20%","89,7",,,17911,99,"0,30%","75,5",,,16013,133,"0,40%","67,5",,8055,225,"1,4%","34,0",,9647,207,"1,10%",53,,9947,192,"1,00%","54,6",,6648,203,"1,60%","36,5",,5672,193,"1,70%","31,2",,5729,196,"1,70%","31,5",,1981,131,"3,40%","10,9"
,,,MUJER,25106,57,"0,1%",,,,,,,,,,,,,,,5316,206,"2,00%","21,2",,8594,215,"1,30%","34,2",,19634,141,"0,40%","78,2",,22881,84,"0,20%","91,1",,,19680,87,"0,20%","78,4",,,17949,120,"0,30%","71,5",,8594,215,"1,3%","34,2",,10305,202,"1,00%","52,3",,10615,179,"0,90%","53,8",,6667,185,"1,40%","33,8",,5993,183,"1,60%","30,4",,6142,190,"1,60%","31,2",,1559,116,"3,80%","7,9"
,,CABECERA,TOTAL CABECERA,37622,75,"0,1%",13952,118,"0,4%",,5786,196,"1,7%","41,5",,9833,170,"0,9%","70,5",,9432,389,"2,10%","25,1",,14802,406,"1,40%","39,3",,31083,245,"0,40%","82,6",,34801,128,"0,20%","92,5",,,30397,140,"0,20%","80,8",,,28166,213,"0,40%","74,9",,14802,406,"1,4%","39,3",,17448,372,"1,10%","55,9",,18197,330,"0,90%","58,3",,12118,355,"1,50%","38,9",,10707,343,"1,60%","34,3",,10838,352,"1,70%","34,8",,3330,220,"3,40%","10,7"
,,,HOMBRE,17910,56,"0,2%",,,,,,,,,,,,,,,4581,211,"2,30%","25,6",,7120,223,"1,60%","39,8",,14744,142,"0,50%","82,3",,16459,88,"0,30%","91,9",,,14192,94,"0,30%","79,2",,,13093,130,"0,50%","73,1",,7120,223,"1,6%","39,8",,8405,206,"1,20%","56,8",,8771,190,"1,10%","59,3",,6033,202,"1,70%","40,8",,5198,192,"1,90%","35,1",,5228,195,"1,90%","35,3",,1869,130,"3,60%","12,6"
,,,MUJER,19712,55,"0,1%",,,,,,,,,,,,,,,4851,205,"2,20%","24,6",,7682,213,"1,40%",39,,16339,136,"0,40%","82,887",,18343,80,"0,20%","93,1",,,16205,83,"0,30%","82,2",,,15073,116,"0,40%","76,5",,7682,213,"1,4%","39,0",,9044,199,"1,10%","55,2",,9426,177,"1,00%","57,5",,6085,184,"1,50%","37,1",,5509,183,"1,70%","33,6",,5610,189,"1,70%","34,2",,1461,116,"4,00%","8,9"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,11202,24,"0,1%",4057,25,"0,3%",,346,19,"2,7%","8,5",,1681,32,"1,0%","41,4",,932,40,"2,20%","8,3",,1847,52,"1,40%","16,5",,6677,69,"0,50%","59,6",,9344,49,"0,30%","83,4",,,7193,46,"0,30%","64,2",,,5796,53,"0,50%","51,7",,1847,52,"1,4%","16,5",,2504,57,"1,20%","37,2",,2365,58,"1,30%","35,1",,1197,43,"1,80%","17,8",,957,37,"2,00%","14,2",,1032,38,"1,90%","15,3",,210,18,"4,50%","3,1"
,,,HOMBRE,5809,18,"0,2%",,,,,,,,,,,,,,,467,24,"2,60%",8,,935,32,"1,70%","16,1",,3382,41,"0,60%","58,2",,4806,30,"0,30%","82,7",,,3719,29,"0,40%",64,,,2920,33,"0,60%","50,3",,935,32,"1,7%","16,1",,1243,34,"1,40%","36,4",,1176,34,"1,50%","34,5",,615,26,"2,20%",18,,474,22,"2,40%","13,9",,501,23,"2,40%","14,7",,112,11,"5,00%","3,3"
,,,MUJER,5393,17,"0,2%",,,,,,,,,,,,,,,465,22,"2,40%","8,6",,911,30,"1,70%","16,9",,3295,39,"0,60%","61,1",,4538,28,"0,30%","84,1",,,3475,27,"0,40%","64,4",,,2876,30,"0,50%","53,3",,911,30,"1,7%","16,9",,1262,32,"1,30%",38,,1189,32,"1,40%","35,8",,582,24,"2,10%","17,5",,483,21,"2,20%","14,6",,532,22,"2,10%",16,,98,11,"5,60%",3
,AMAZONAS,TOTAL,TOTAL,76,1,"0,5%",27,1,"1,8%",,5,1,"9,4%","16,8",,8,1,"6,9%","29,1",,14,2,"6,20%","18,6",,21,2,"5,00%","27,2",,30,2,"4,00%","39,3",,45,2,"2,40%","59,2",,,34,2,"3,20%","44,9",,,30,2,"3,80%","39,4",,21,2,"5,0%","27,2",,23,2,"5,20%","71,9",,20,2,"5,00%","60,6",,10,2,"7,70%","31,1",,11,2,"7,00%","34,9",,11,2,"7,90%","33,3",,3,1,"15,40%","9,4"
,,,HOMBRE,39,1,"0,9%",,,,,,,,,,,,,,,8,1,"7,10%","20,4",,11,1,"5,80%",29,,16,1,"4,50%","41,3",,23,1,"2,80%",60,,,19,1,"3,50%","47,5",,,16,1,"4,30%","41,9",,11,1,"5,8%","29,0",,13,1,"5,50%","73,6",,11,1,"5,40%",63,,6,1,"9,00%","32,5",,6,1,"8,50%","36,4",,6,1,"9,30%","34,8",,2,1,"19,40%","9,6"
,,,MUJER,37,1,"0,9%",,,,,,,,,,,,,,,6,1,"7,70%","16,8",,9,1,"6,00%","25,4",,14,1,"4,40%","37,2",,22,1,"2,70%","58,3",,,16,1,"3,60%","42,2",,,14,1,"4,10%","36,8",,9,1,"6,0%","25,4",,11,1,"6,20%",70,,9,1,"6,30%","57,8",,4,1,"8,50%","29,6",,5,1,"8,00%","33,3",,5,1,"9,10%","31,5",,1,0,"15,00%","9,2"
,,CABECERA,TOTAL CABECERA,40,0,"0,6%",17,1,"2,5%",,4,1,"10,1%","23,1",,6,1,"7,7%","37,0",,9,1,"7,20%","22,6",,14,1,"5,10%","35,6",,20,2,"3,90%","49,6",,30,1,"1,80%","75,3",,,25,1,"2,30%","63,7",,,22,1,"3,20%","54,4",,14,1,"5,1%","35,6",,14,1,"5,20%","67,3",,13,1,"5,30%","60,1",,8,1,"7,80%","36,2",,9,1,"7,10%","41,9",,7,1,"7,60%","35,4",,2,1,"13,30%","11,3"
,,,HOMBRE,20,0,"1,1%",,,,,,,,,,,,,,,5,1,"7,90%","23,6",,7,1,"6,40%",37,,10,1,"4,80%","50,9",,15,1,"2,00%","74,9",,,13,1,"2,20%","64,5",,,11,1,"3,40%","55,1",,7,1,"6,4%","37,0",,7,1,"6,10%","67,9",,7,1,"5,90%","62,2",,4,1,"8,60%","38,1",,5,1,"8,10%","43,9",,4,1,"8,80%","36,8",,1,0,"15,60%","10,9"
,,,MUJER,20,0,"0,7%",,,,,,,,,,,,,,,4,1,"8,20%","21,6",,7,1,"5,40%","34,3",,10,1,"4,20%","48,262",,15,1,"2,10%","75,7",,,13,1,"2,80%","62,9",,,11,1,"3,50%","53,8",,7,1,"5,4%","34,3",,7,1,"5,90%","66,7",,6,1,"6,30%",58,,4,1,"8,70%","34,4",,4,1,"8,30%","39,9",,4,1,"8,50%","34,1",,1,0,"14,80%","11,7"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,36,1,"0,9%",10,1,"3,1%",,1,0,"24,7%","6,0",,1,0,"17,0%","15,2",,5,1,"11,30%","14,3",,7,1,"11,10%",18,,10,2,"8,80%",28,,15,2,"6,30%","41,6",,,9,2,"10,40%","24,3",,,8,2,"10,80%","22,9",,7,1,"11,1%","18,0",,9,2,"10,50%","80,7",,7,1,"10,20%","61,5",,2,1,"20,50%","21,4",,2,1,"20,10%","21,7",,3,1,"19,40%","29,1",,1,1,"51,80%",6
,,,HOMBRE,19,1,"1,4%",,,,,,,,,,,,,,,3,1,"13,00%",17,,4,1,"11,60%","20,6",,6,1,"9,20%","31,3",,9,1,"7,00%","44,6",,,6,1,"10,20%","29,9",,,5,1,"11,10%","28,2",,4,1,"11,6%","20,6",,5,1,"10,10%","83,1",,4,1,"10,50%","64,4",,2,1,"23,80%","23,2",,2,1,"23,80%",24,,2,1,"21,20%","31,6",,0,1,"53,70%","7,6"
,,,MUJER,17,1,"1,8%",,,,,,,,,,,,,,,2,1,"16,50%","11,3",,3,1,"16,30%","15,1",,4,1,"10,90%","24,4",,7,1,"7,50%","38,2",,,3,1,"14,20%","18,2",,,3,1,"14,30%",17,,3,1,"16,3%","15,1",,4,1,"14,30%","77,4",,3,1,"14,70%","57,5",,1,0,"24,40%","18,9",,1,0,"23,90%","18,4",,1,1,"25,70%","25,7",,0,0,"61,90%","3,6"
,ANTIOQUIA,TOTAL,TOTAL,6615,35,"0,3%",2485,55,"1,1%",,883,94,"5,4%","35,5",,1755,85,"2,5%","70,6",,1569,177,"5,80%","23,7",,2232,195,"4,50%","33,7",,5350,95,"0,90%","80,9",,6088,61,"0,50%",92,,,5396,75,"0,70%","81,6",,,4986,86,"0,90%","75,4",,2232,195,"4,5%","33,7",,2855,179,"3,20%","53,2",,2987,161,"2,80%","55,7",,1998,163,"4,20%","37,2",,1627,149,"4,70%","30,3",,1634,150,"4,70%","30,5",,739,121,"8,30%","13,8"
,,,HOMBRE,3188,26,"0,4%",,,,,,,,,,,,,,,756,102,"6,90%","23,7",,1087,112,"5,20%","34,1",,2561,65,"1,30%","80,3",,2912,44,"0,80%","91,3",,,2549,55,"1,10%",80,,,2331,60,"1,30%","73,1",,1087,112,"5,2%","34,1",,1389,101,"3,70%","54,1",,1428,94,"3,40%","55,6",,994,96,"4,90%","38,7",,787,86,"5,60%","30,6",,789,89,"5,70%","30,7",,403,72,"9,10%","15,7"
,,,MUJER,3427,24,"0,4%",,,,,,,,,,,,,,,813,90,"5,60%","23,7",,1145,102,"4,60%","33,4",,2789,49,"0,90%","81,4",,3176,41,"0,70%","92,7",,,2847,40,"0,70%","83,1",,,2655,46,"0,90%","77,5",,1145,102,"4,6%","33,4",,1465,93,"3,30%","52,4",,1559,84,"2,70%","55,8",,1004,84,"4,30%","35,9",,840,82,"5,00%","30,1",,844,81,"4,90%","30,2",,336,63,"9,50%",12
,,CABECERA,TOTAL CABECERA,5362,33,"0,3%",2042,55,"1,4%",,837,94,"5,7%","41,0",,1515,84,"2,8%","74,2",,1454,177,"6,20%","27,1",,1984,194,"5,00%",37,,4489,92,"1,00%","83,7",,4964,58,"0,60%","92,6",,,4495,74,"0,80%","83,8",,,4218,84,"1,00%","78,7",,1984,194,"5,0%","37,0",,2547,178,"3,60%","56,6",,2640,160,"3,10%","58,7",,1830,163,"4,50%","40,7",,1508,148,"5,00%","33,5",,1516,150,"5,00%","33,7",,713,121,"8,60%","15,8"
,,,HOMBRE,2536,25,"0,5%",,,,,,,,,,,,,,,699,102,"7,40%","27,6",,960,111,"5,90%","37,9",,2123,64,"1,50%","83,7",,2331,43,"0,90%","91,9",,,2087,54,"1,30%","82,3",,,1947,59,"1,50%","76,8",,960,111,"5,9%","37,9",,1236,101,"4,20%","58,1",,1259,94,"3,80%","59,1",,910,96,"5,40%","42,8",,729,86,"6,00%","34,2",,734,88,"6,10%","34,5",,389,71,"9,40%","18,3"
,,,MUJER,2826,23,"0,4%",,,,,,,,,,,,,,,755,89,"6,00%","26,7",,1024,101,"5,10%","36,2",,2366,47,"1,00%","83,712",,2633,39,"0,80%","93,2",,,2409,39,"0,80%","85,2",,,2271,45,"1,00%","80,4",,1024,101,"5,1%","36,2",,1311,93,"3,60%","55,3",,1381,83,"3,10%","58,2",,920,84,"4,70%","38,8",,779,81,"5,30%","32,9",,782,81,"5,30%",33,,324,63,"9,80%","13,7"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,1253,12,"0,5%",443,8,"0,9%",,46,7,"7,8%","10,4",,239,12,"2,6%","54,0",,115,17,"7,40%","9,2",,248,22,"4,50%","19,8",,862,27,"1,60%","68,7",,1123,18,"0,80%","89,6",,,901,16,"0,90%","71,9",,,768,19,"1,30%","61,3",,248,22,"4,5%","19,8",,307,23,"3,90%","35,6",,347,24,"3,60%","40,2",,168,18,"5,60%","19,5",,119,14,"6,20%","13,8",,118,14,"6,00%","13,7",,26,6,"11,50%",3
,,,HOMBRE,653,8,"0,6%",,,,,,,,,,,,,,,57,10,"8,90%","8,8",,126,14,"5,60%","19,3",,438,17,"1,90%","67,1",,581,12,"1,00%","89,1",,,462,11,"1,20%","70,8",,,384,12,"1,70%","58,8",,126,14,"5,6%","19,3",,153,14,"4,70%","34,9",,170,14,"4,30%","38,6",,84,11,"6,70%","19,1",,58,9,"7,60%","13,2",,55,8,"7,30%","12,6",,14,4,"14,40%","3,3"
,,,MUJER,601,8,"0,7%",,,,,,,,,,,,,,,58,10,"8,50%","9,6",,122,13,"5,50%","20,3",,423,15,"1,80%","70,5",,542,11,"1,00%","90,3",,,438,10,"1,10%",73,,,384,12,"1,50%","63,9",,122,13,"5,5%","20,3",,154,13,"4,30%","36,3",,178,14,"4,00%","41,8",,84,10,"6,30%","19,8",,61,9,"7,60%","14,4",,63,9,"7,50%","14,8",,12,4,"15,30%","2,8"
,ARAUCA,TOTAL,TOTAL,282,2,"0,4%",114,2,"1,0%",,13,2,"8,8%","11,7",,42,3,"3,7%","36,7",,33,5,"7,10%","11,6",,61,5,"4,60%","21,7",,186,6,"1,70%",66,,249,4,"0,80%","88,2",,,203,3,"0,90%",72,,,163,5,"1,40%",58,,61,5,"4,6%","21,7",,76,6,"4,10%","40,5",,77,6,"3,80%",41,,48,5,"4,80%","25,8",,48,5,"4,80%","25,4",,48,5,"4,90%","25,6",,13,3,"10,90%",7
,,,HOMBRE,142,2,"0,6%",,,,,,,,,,,,,,,16,2,"7,70%","11,5",,30,3,"5,30%","21,1",,90,3,"2,00%","63,4",,125,2,"1,00%","87,8",,,100,2,"1,10%","70,2",,,76,3,"1,80%","53,7",,30,3,"5,3%","21,1",,36,3,"5,00%","39,4",,36,3,"4,40%","39,3",,24,3,"5,70%","26,1",,22,3,"6,10%","24,4",,22,3,"6,20%","24,7",,7,2,"13,00%","7,6"
,,,MUJER,140,2,"0,6%",,,,,,,,,,,,,,,16,3,"8,50%","11,8",,31,3,"5,10%","22,3",,96,4,"1,90%","68,8",,124,2,"1,00%","88,6",,,103,2,"1,10%","73,8",,,87,3,"1,70%","62,4",,31,3,"5,1%","22,3",,40,3,"4,30%","41,6",,41,3,"4,20%","42,6",,25,3,"5,40%","25,5",,26,3,"5,50%","26,3",,26,3,"5,40%","26,5",,6,1,"11,90%","6,6"
,,CABECERA,TOTAL CABECERA,185,2,"0,5%",70,2,"1,7%",,13,2,"9,1%","18,3",,34,3,"4,1%","48,3",,32,5,"7,30%","17,2",,53,5,"5,10%","28,9",,145,5,"1,80%","78,1",,167,3,"0,90%","90,1",,,137,3,"1,00%","74,1",,,123,4,"1,60%","66,2",,53,5,"5,1%","28,9",,65,6,"4,50%","44,4",,65,5,"4,20%","44,9",,44,4,"5,20%",30,,43,4,"5,20%","29,3",,44,4,"5,20%","30,4",,12,3,"12,10%",8
,,,HOMBRE,90,1,"0,7%",,,,,,,,,,,,,,,16,2,"7,80%","17,8",,26,3,"5,80%","28,8",,70,3,"2,20%","77,2",,82,2,"1,20%","90,3",,,65,2,"1,40%","71,9",,,57,2,"2,10%","62,9",,26,3,"5,8%","28,8",,30,3,"5,40%","43,4",,31,3,"4,80%","43,8",,22,3,"6,00%",31,,20,2,"6,50%","27,8",,20,3,"6,60%","29,1",,6,2,"14,30%","8,7"
,,,MUJER,95,1,"0,7%",,,,,,,,,,,,,,,16,3,"8,80%","16,6",,27,3,"5,60%","28,9",,75,3,"1,90%","79,024",,85,2,"1,10%",90,,,72,2,"1,30%","76,3",,,66,2,"1,90%","69,5",,27,3,"5,6%","28,9",,34,3,"4,70%","45,4",,35,3,"4,60%","45,9",,22,3,"5,80%","29,1",,23,3,"5,90%","30,6",,24,3,"5,70%","31,6",,6,1,"13,00%","7,4"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,97,1,"0,8%",44,1,"1,6%",,0,0,"26,8%","1,1",,8,1,"9,4%","18,4",,1,0,"20,90%",1,,8,1,"9,40%","7,9",,42,4,"5,40%","42,9",,82,2,"1,50%","84,5",,,66,2,"1,60%","67,8",,,41,3,"4,10%","42,3",,8,1,"9,4%","7,9",,11,2,"9,90%","27,1",,12,2,"9,30%","27,8",,5,1,"13,60%","11,1",,5,1,"12,30%","12,1",,4,1,"11,40%","9,2",,2,1,"21,70%","3,6"
,,,HOMBRE,51,1,"1,0%",,,,,,,,,,,,,,,0,0,"35,20%","0,5",,4,1,"12,00%","7,4",,20,2,"5,80%",39,,43,1,"1,80%","83,4",,,35,1,"1,90%","67,2",,,19,2,"5,00%","37,5",,4,1,"12,0%","7,4",,5,1,"11,90%","25,5",,5,1,"11,30%",24,,2,1,"17,90%","9,4",,3,1,"15,90%","12,9",,2,1,"16,50%","9,4",,1,0,"23,70%","3,5"
,,,MUJER,45,1,"1,0%",,,,,,,,,,,,,,,1,0,"24,80%","1,6",,4,1,"12,00%","8,4",,21,2,"5,90%","47,3",,39,1,"1,90%","85,7",,,31,1,"1,80%","68,5",,,22,2,"4,20%","47,6",,4,1,"12,0%","8,4",,6,1,"10,60%","28,6",,7,1,"9,80%","31,3",,3,1,"14,60%","12,7",,3,1,"15,00%","11,4",,2,1,"15,00%",9,,1,0,"28,50%","3,7"
,ATLÁNTICO,TOTAL,TOTAL,2660,17,"0,3%",795,20,"1,3%",,275,36,"6,7%","34,6",,470,33,"3,6%","59,1",,553,83,"7,70%","20,8",,914,85,"4,70%","34,4",,2144,49,"1,20%","80,6",,2420,34,"0,70%",91,,,1942,40,"1,00%",73,,,1837,47,"1,30%","69,1",,914,85,"4,7%","34,4",,1254,75,"3,00%","58,3",,1219,69,"2,90%","56,7",,679,64,"4,80%","31,6",,598,63,"5,40%","27,8",,594,75,"6,40%","27,6",,199,31,"7,90%","9,3"
,,,HOMBRE,1289,13,"0,5%",,,,,,,,,,,,,,,271,42,"7,90%","21,1",,446,44,"5,10%","34,6",,1042,29,"1,40%","80,8",,1178,22,"1,00%","91,3",,,930,24,"1,30%","72,1",,,869,28,"1,60%","67,4",,446,44,"5,1%","34,6",,613,41,"3,40%","58,7",,596,37,"3,10%","57,1",,344,37,"5,40%",33,,295,35,"6,10%","28,3",,292,39,"6,80%","27,9",,106,19,"9,10%","10,2"
,,,MUJER,1371,15,"0,5%",,,,,,,,,,,,,,,281,44,"8,00%","20,5",,468,46,"5,00%","34,2",,1103,30,"1,40%","80,4",,1242,23,"1,00%","90,6",,,1012,24,"1,20%","73,8",,,968,26,"1,40%","70,6",,468,46,"5,0%","34,2",,641,39,"3,10%","57,9",,623,38,"3,10%","56,2",,335,33,"5,10%","30,3",,303,33,"5,60%","27,3",,303,40,"6,80%","27,3",,93,17,"9,40%","8,4"
,,CABECERA,TOTAL CABECERA,2528,17,"0,4%",756,20,"1,4%",,272,36,"6,8%","36,0",,456,33,"3,7%","60,3",,539,83,"7,80%","21,3",,893,85,"4,90%","35,3",,2055,49,"1,20%","81,3",,2309,34,"0,80%","91,3",,,1863,40,"1,10%","73,7",,,1766,47,"1,30%","69,9",,893,85,"4,9%","35,3",,1220,75,"3,10%","59,2",,1189,69,"2,90%","57,7",,662,64,"4,90%","32,1",,584,63,"5,50%","28,3",,583,75,"6,50%","28,3",,193,31,"8,20%","9,4"
,,,HOMBRE,1220,13,"0,5%",,,,,,,,,,,,,,,264,42,"8,10%","21,7",,435,44,"5,20%","35,6",,996,29,"1,50%","81,6",,1120,22,"1,00%","91,8",,,888,24,"1,40%","72,8",,,833,28,"1,70%","68,2",,435,44,"5,2%","35,6",,595,41,"3,50%","59,7",,581,37,"3,20%","58,3",,335,37,"5,60%","33,6",,288,35,"6,20%","28,9",,286,39,"6,90%","28,7",,103,19,"9,40%","10,3"
,,,MUJER,1308,15,"0,6%",,,,,,,,,,,,,,,275,44,"8,20%",21,,458,46,"5,10%",35,,1059,30,"1,50%","80,966",,1189,23,"1,00%","90,9",,,974,24,"1,20%","74,5",,,933,26,"1,40%","71,4",,458,46,"5,1%","35,0",,625,39,"3,20%","58,8",,608,38,"3,10%","57,1",,327,33,"5,20%","30,8",,296,33,"5,70%","27,8",,297,40,"6,90%","27,9",,90,17,"9,70%","8,5"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,132,1,"0,6%",39,1,"1,7%",,3,1,"14,4%","7,1",,14,2,"5,6%","35,6",,13,2,"6,90%","10,1",,21,2,"5,30%","16,2",,90,3,"1,90%",68,,111,2,"1,10%","84,2",,,79,3,"1,90%","60,2",,,72,3,"2,10%","54,3",,21,2,"5,3%","16,2",,34,3,"4,90%","37,4",,30,3,"4,70%","33,3",,17,2,"7,00%",19,,14,2,"7,50%","15,1",,11,2,"7,50%",12,,6,1,"10,90%","6,9"
,,,HOMBRE,69,1,"0,7%",,,,,,,,,,,,,,,7,1,"9,30%","10,2",,11,2,"6,90%",16,,46,2,"2,10%","66,7",,58,2,"1,40%","83,4",,,42,2,"2,30%","60,2",,,37,2,"2,60%","53,2",,11,2,"6,9%","16,0",,18,2,"5,50%","38,5",,15,2,"5,20%","32,8",,9,2,"8,30%","19,9",,7,1,"8,60%","15,4",,6,1,"8,70%","11,9",,3,1,"12,90%","7,1"
